Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee
No,128,1,1,2.7,1,265.1,110,89.0,9.87
No,107,1,1,3.7,1,161.6,123,82.0,9.78
No,137,1,0,0.0,0,243.4,114,52.0,6.06
No,84,0,0,0.0,2,299.4,71,57.0,3.1
No,75,0,0,0.0,3,166.7,113,41.0,7.42
No,118,0,0,0.0,0,223.4,98,57.0,11.03
No,121,1,1,2.03,3,218.2,88,87.3,17.43
No,147,0,0,0.0,0,157.0,79,36.0,5.16
No,117,1,0,0.19,1,184.5,97,63.9,17.58
No,141,0,1,3.02,0,258.6,84,93.2,11.1
Yes,65,1,0,0.29,4,129.1,137,44.9,11.43
No,74,1,0,0.34,0,187.7,127,49.4,8.17
No,168,1,0,0.0,1,128.8,96,31.0,5.25
No,95,1,0,0.44,3,156.6,88,52.4,12.38
No,62,1,0,0.0,4,120.7,70,47.0,15.36
Yes,161,1,0,0.0,4,332.9,67,84.0,15.89
No,85,1,1,3.73,1,196.4,139,95.3,14.05
No,93,1,0,0.0,3,190.7,114,51.0,10.91
No,76,1,1,2.7,1,189.7,66,78.0,10.64
No,73,1,0,0.0,1,224.4,90,52.0,7.98
No,147,1,0,0.31,0,155.1,117,50.1,11.99
Yes,77,1,0,0.0,5,62.4,89,26.0,8.5
No,130,1,0,0.0,0,183.0,112,38.0,3.65
No,111,1,0,0.39,2,110.4,103,34.9,6.87
No,132,1,0,0.0,0,81.1,86,35.0,12.26
No,174,1,0,0.0,3,124.3,76,45.0,13.86
No,57,1,1,2.57,0,213.0,115,78.7,9.56
No,54,1,0,0.0,3,134.3,73,37.0,7.78
No,20,1,0,0.32,0,190.0,109,58.2,12.91
No,49,1,0,0.21,1,119.3,117,41.1,10.76
No,142,1,0,0.0,2,84.8,95,27.0,6.84
No,75,1,0,0.0,1,226.1,105,56.0,10.08
No,172,1,0,0.0,3,212.0,121,39.0,1.56
Yes,12,1,0,0.0,1,249.6,118,64.0,12.62
No,57,1,1,2.24,0,176.8,94,69.4,9.75
No,72,1,1,3.97,3,220.0,80,95.7,10.87
No,36,1,1,3.92,0,146.3,128,78.2,8.13
No,78,1,0,0.0,1,130.8,64,42.0,11.19
No,136,0,1,2.84,3,203.9,106,79.4,9.38
No,149,1,0,0.0,1,140.4,94,47.0,13.59
No,98,1,0,0.3,3,126.3,102,39.0,8.34
Yes,135,0,1,3.94,0,173.1,85,86.4,10.2
No,34,1,0,0.0,2,124.8,82,46.0,14.11
No,160,1,0,0.38,3,85.8,77,32.8,8.27
No,64,1,0,0.24,1,154.0,67,48.4,11.29
No,59,1,1,2.3,2,120.9,97,62.0,10.65
No,65,1,0,0.0,3,211.3,120,50.0,8.13
No,142,1,0,0.35,2,187.0,133,47.5,6.73
Yes,119,1,0,0.0,5,159.1,114,47.0,11.57
No,97,1,1,2.97,1,133.2,135,71.7,10.86
No,52,1,0,0.32,3,191.9,108,59.2,13.49
No,60,1,0,0.0,1,220.6,57,56.0,10.56
No,10,1,0,0.0,2,186.1,112,48.0,9.51
No,96,1,0,0.21,2,160.2,117,52.1,13.38
Yes,87,1,0,0.0,5,151.0,83,45.0,10.99
No,81,1,0,0.11,1,175.5,67,53.1,12.47
No,141,1,0,0.0,1,126.9,98,37.0,9.0
Yes,121,1,1,1.57,3,198.4,129,56.7,3.77
No,68,1,0,0.0,3,148.8,70,47.0,12.33
No,125,1,0,0.0,1,229.3,103,55.0,8.87
No,174,1,0,0.0,1,192.1,97,48.0,8.5
No,116,1,1,3.13,2,268.6,83,92.3,8.91
No,74,1,1,3.94,2,193.7,91,93.4,12.31
No,149,1,1,3.4,3,180.7,92,81.0,9.39
No,38,1,0,0.0,2,131.2,98,37.0,8.15
No,40,1,1,1.67,2,148.1,74,56.7,8.48
No,43,0,0,0.0,0,251.5,105,61.0,10.64
No,113,0,0,0.0,0,125.2,93,39.0,10.32
No,126,1,0,0.0,1,211.6,70,55.0,10.85
Yes,150,1,0,0.0,4,178.9,101,45.0,8.46
No,138,1,0,0.0,3,241.8,93,56.0,8.53
No,162,1,1,3.27,0,224.9,97,87.7,9.41
No,147,1,0,0.0,3,248.6,83,55.0,7.45
No,90,1,0,0.0,1,203.4,146,54.0,11.34
No,85,1,0,0.0,0,235.8,109,54.0,7.86
No,50,1,0,0.0,1,157.1,90,46.0,11.17
Yes,82,1,0,0.21,0,300.3,109,69.1,9.05
Yes,144,1,0,0.21,4,61.6,117,20.1,3.86
No,46,1,0,0.26,2,214.1,72,53.6,8.22
No,70,1,0,0.3,1,170.2,98,46.0,7.76
No,144,1,0,0.0,1,201.1,99,60.0,15.18
No,116,0,0,0.3,3,215.4,104,58.0,10.24
No,55,1,1,2.97,3,165.6,123,69.7,6.81
No,70,1,1,2.65,1,249.5,101,91.5,12.99
Yes,106,1,0,0.0,2,210.6,96,57.0,12.46
No,128,1,1,2.32,0,179.3,104,73.2,11.3
Yes,94,1,0,0.0,4,157.9,105,41.0,7.75
No,111,1,0,0.0,1,214.3,118,55.0,10.43
No,74,1,1,2.94,2,154.1,104,66.4,6.17
Yes,128,1,0,0.0,1,237.9,125,62.0,12.38
No,82,1,0,0.17,1,143.9,61,43.7,9.75
Yes,155,1,0,0.0,0,203.4,100,51.0,9.55
No,80,1,0,0.0,1,124.3,100,36.0,8.65
No,78,1,0,0.0,3,252.9,93,59.0,8.92
No,90,1,0,0.0,3,179.1,71,47.0,9.53
No,104,1,0,0.3,1,278.4,106,58.0,4.05
No,73,1,0,0.0,0,160.1,110,46.0,10.67
No,99,1,0,0.0,4,198.2,87,52.0,10.37
Yes,120,1,0,0.0,1,212.1,131,54.0,10.47
Yes,77,1,0,0.0,2,251.8,72,61.0,10.29
No,98,1,1,1.19,4,161.2,114,60.9,12.61
No,108,1,0,0.34,0,178.3,137,50.4,9.45
No,135,1,0,0.0,0,151.7,82,36.0,5.95
No,95,1,0,0.0,1,135.0,99,39.0,9.18
No,122,1,0,0.39,1,170.5,94,47.9,8.69
No,95,1,0,0.0,4,238.1,65,57.0,9.36
No,36,1,1,2.43,2,281.4,102,90.3,10.11
No,93,1,1,2.65,1,117.9,131,61.5,8.23
No,141,1,1,2.73,1,148.6,91,64.3,6.56
No,157,1,0,0.0,3,229.8,90,52.0,7.4
No,120,1,0,0.0,1,165.0,100,56.0,15.86
No,103,1,0,0.0,2,185.0,117,51.0,11.17
No,98,1,0,0.0,4,161.0,117,44.0,9.55
No,125,1,0,0.0,1,126.7,108,40.0,10.3
No,63,1,0,0.0,1,58.9,125,25.0,8.48
Yes,36,0,1,5.4,0,196.8,89,110.0,12.75
No,64,1,0,0.29,1,162.6,83,43.9,7.62
Yes,74,1,0,0.21,1,282.5,114,69.1,11.0
No,112,1,1,2.7,2,113.7,117,60.0,7.88
No,97,1,0,0.0,2,239.8,125,60.0,10.74
No,46,1,0,0.21,1,210.2,92,58.1,11.37
No,41,1,1,1.94,0,213.8,102,68.4,7.09
No,121,1,0,0.0,3,190.7,103,49.0,9.18
No,193,1,0,0.0,1,170.9,124,41.0,6.62
No,130,1,0,0.0,2,154.2,119,36.0,5.51
No,85,1,0,0.4,1,201.4,52,58.0,11.47
Yes,162,1,0,0.0,4,70.7,108,26.0,7.88
Yes,61,1,1,1.73,4,187.5,124,62.3,7.33
No,92,1,0,0.0,2,91.7,90,33.0,9.69
No,131,1,1,2.57,3,214.2,115,76.7,8.09
No,90,1,0,0.0,3,145.5,92,44.0,10.89
No,75,1,0,0.0,1,166.3,125,42.0,7.91
No,78,1,0,0.0,1,231.0,115,59.0,11.52
No,82,1,0,0.0,4,200.3,96,52.0,10.06
No,163,1,0,0.0,1,197.0,109,51.0,10.13
No,91,0,0,0.31,3,129.9,112,40.1,8.67
No,75,1,1,1.43,5,175.8,97,63.3,10.88
No,91,1,0,0.0,3,203.1,106,53.0,10.51
No,127,1,1,3.02,1,183.2,117,72.2,6.34
No,113,1,1,2.75,2,205.0,101,75.5,7.6
No,110,1,0,0.0,1,148.5,115,49.0,13.82
No,120,1,1,2.84,0,200.3,68,81.4,11.02
No,157,1,1,1.84,3,192.6,107,68.4,9.78
No,103,1,0,0.0,1,246.5,47,59.0,9.78
Yes,117,0,0,0.0,2,167.1,86,44.0,8.88
No,140,1,0,0.0,3,231.9,101,54.0,8.01
No,127,1,0,0.0,1,146.7,91,43.0,10.18
No,83,0,0,0.26,1,271.5,87,67.6,10.82
No,121,1,0,0.0,1,181.5,121,50.0,10.92
No,145,1,1,3.0,2,257.7,97,88.0,8.11
No,113,1,0,0.0,1,193.8,99,52.0,11.07
No,117,1,0,0.0,1,102.8,119,36.0,10.34
No,65,1,0,0.0,1,187.9,116,46.0,7.88
No,56,1,0,0.0,1,226.0,112,60.0,12.43
No,96,1,0,0.0,5,260.4,115,57.0,7.3
No,151,1,0,0.0,0,178.7,116,56.0,14.61
Yes,83,1,0,0.0,0,337.4,120,77.0,11.37
No,139,1,1,3.7,0,157.6,129,85.0,12.35
No,6,1,0,0.0,1,183.6,117,54.0,12.84
No,115,1,1,2.59,1,142.1,124,65.9,9.17
No,87,1,0,0.31,0,136.3,97,41.1,8.61
No,141,1,0,0.0,0,217.1,110,58.0,12.08
No,141,1,1,2.84,3,187.5,99,81.4,12.07
No,62,1,0,0.0,1,98.9,103,29.0,6.77
No,146,1,0,0.0,1,206.3,151,48.0,7.43
No,92,1,1,3.27,2,243.1,92,92.7,10.69
No,185,1,1,2.03,1,189.8,126,67.3,8.17
No,148,1,0,0.39,1,202.0,102,59.9,12.16
No,94,1,1,3.46,1,170.1,124,80.6,9.67
No,32,1,0,0.0,0,230.9,87,56.0,9.37
No,68,1,0,0.0,1,237.1,105,60.0,11.18
